pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_dens,st_rad,st_mass,st_lum,pl_class
K2-31 b,1.25785,0.022,1.06,1.774,1.85,0.78,0.91,-0.11,Gas Giant
K2-312 c,921.2,1.961,1.14,5.41,4.51,1.22,1.18,0.232,Gas Giant
K2-315 b,3.1443189,0.023268,0.085,0.00254,5.18,0.2,0.17,-2.387,Terrestrial
K2-316 b,1.133,0.0147,0.119,0.00733,5.44,0.38,0.41,-1.83,Super Earth
K2-316 c,5.26,0.0582,0.163,0.0126,3.6,0.38,0.41,-1.83,Super Earth
K2-317 b,6.22,0.0542,0.261,0.028,1.95,0.38,0.4,-1.871,Neptune-like
K2-318 b,7.01,0.0911,0.148,0.0107,4.07,0.55,0.56,-1.277,Super Earth
K2-319 b,26.68,0.1516,0.249,0.0258,2.07,0.9,0.95,-0.237,Neptune-like
K2-32 b,8.992,0.0795,0.473,0.0472,0.55,0.86,0.83,-0.296,Neptune-like
K2-32 c,20.66093,0.13843,0.28,0.02549,1.43,0.86,0.83,-0.488,Neptune-like
K2-32 d,31.71701,0.18422,0.311,0.02108,0.87,0.86,0.83,-0.488,Neptune-like
K2-32 e,4.34934,0.04899,0.108,0.00661,6.3,0.86,0.83,-0.488,Super Earth
K2-320 b,1.995,0.0142,0.234,0.0232,2.25,0.3,0.12,-2.125,Neptune-like
K2-321 b,2.298,0.041,0.174,0.014,3.31,0.58,0.6,-1.254,Super Earth
K2-322 b,8.205,0.0594,0.171,0.0137,3.38,0.6,0.63,-1.039,Super Earth
K2-323 b,24.93,0.1275,0.187,0.0159,3,0.55,0.48,-1.339,Neptune-like
K2-324 b,3.262,0.0331,0.217,0.0204,2.48,0.51,0.52,-1.333,Neptune-like
K2-325 b,6.93,0.0419,0.196,0.0172,2.83,0.3,0.27,-2.048,Neptune-like
K2-326 b,1.256,0.0198,0.203,0.0183,2.7,0.69,0.51,-0.978,Neptune-like
K2-329 b,12.4551225,0.1016,0.774,0.26,0.694,0.82,0.9,-0.325,Gas Giant
K2-33 b,5.424865,0.0409,0.45,3.7,50.54,1.05,0.56,-0.824,Neptune-like
K2-330 b,13.774798,0.1204929,0.247,0.0255,2.09,1.5,1.23,0.477,Neptune-like
K2-331 b,9.398977,0.089974,0.16,0.0121,3.7,1.06,1.1,0.059,Super Earth
K2-331 c,22.996591,0.163371,0.243,0.0247,2.14,1.06,1.1,0.059,Neptune-like
K2-332 b,17.70632,0.08592971,0.196,0.0172,2.83,0.28,0.27,-2.065,Neptune-like
K2-333 b,14.759287,0.1200647,0.551,0.0995,0.736,1.22,1.06,0.165,Neptune-like
K2-334 b,5.113981,0.0643609,0.504,0.0854,0.829,1.49,1.36,0.514,Neptune-like
K2-335 b,12.283211,0.111629,0.197,0.0174,2.81,1.33,1.23,0.395,Neptune-like
K2-336 b,21.194733,0.14253,0.109,0.00624,5.99,0.8,0.86,-0.345,Super Earth
