pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
OGLE-2007-BLG-349L AB c,OGLE-2007-BLG-349L A,2,1,2557,2.59,10.7,0.952,80,0.25171,Mass,0.359,,,,,,,M,,,0.41,,,,,,2760,24.73,,,Gas Giant
OGLE-2007-BLG-368L b,OGLE-2007-BLG-368L,1,1,,2.8,4.72,0.421,20,0.06,Mass,1.05,,,,,,,,,,0.64,,,,,,5900,17.71,,,Neptune-like
OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,2,1,,15,8.74,0.78,57,0.18,Mass,0.469,,,,,,,,,,0.71,,,,,,8100,,,,Gas Giant
OGLE-2008-BLG-355L b,OGLE-2008-BLG-355L,1,1,,1.7,12.9,1.15,1500,4.6,Mass,3.84,,,,,,,,,,0.37,,,,,,6800,,,,Gas Giant
OGLE-2011-BLG-0173L b,OGLE-2011-BLG-0173L,1,1,,8,9.01,0.804,60,0.19,Mass,0.451,,,,,,,,,,0.41,,,,,,6100,,,,Gas Giant
OGLE-2011-BLG-0251L b,OGLE-2011-BLG-0251L,1,1,,2.72,14.2,1.27,170,0.53,Mass,0.326,,,,,,,M,,,0.26,,,,,,2570,,,,Gas Giant
OGLE-2011-BLG-0265L b,OGLE-2011-BLG-0265L,1,1,,1.89,13.9,1.24,280,0.88,Mass,0.573,,,,,,,,,,0.21,,,,,,4380,,,,Gas Giant
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,1,2,,4,7.72,0.688,46.1,0.145,Mass,0.551,,,,,,,G5 V,,,1.06,,,,5,,4019,20.66,,,Gas Giant
OGLE-2012-BLG-0026L c,OGLE-2012-BLG-0026L,1,2,,4.8,13.9,1.24,270,0.86,Mass,0.552,,,,,,,G5 V,,,1.06,,,,5,,4019,20.66,,,Gas Giant
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,1,1,,0.87,13.4,1.2,588,1.85,Mass,1.34,,,,,,,,,,0.02,,,,,,1760,,,,Gas Giant
OGLE-2012-BLG-0406L b,OGLE-2012-BLG-0406L,1,1,,3.45,13.2,1.18,868,2.73,Mass,2.07,,,,,,,,,,0.44,,,,,,4970,,,,Gas Giant
OGLE-2012-BLG-0563L b,OGLE-2012-BLG-0563L,1,1,,0.74,13.6,1.21,120,0.39,Mass,0.262,,,,,,,,,,0.34,,,,,,1300,,,,Gas Giant
OGLE-2012-BLG-0724L b,OGLE-2012-BLG-0724L,1,1,,1.6,14.3,1.27,150,0.47,Mass,0.282,,,,,,,M V,,,0.29,,,,,,6700,,,,Gas Giant
OGLE-2012-BLG-0838L b,OGLE-2012-BLG-0838L,1,1,,4.43,8.39,0.748,53.1,0.167,Mass,0.494,,,,,,,,,,0.4,,,,,,6320,,,,Gas Giant
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,1,1,,2.6,6.56,0.585,35,0.11,Mass,0.681,,,,,,,M V,,,0.57,,,,,,2600,,,,Neptune-like
OGLE-2013-BLG-0102L b,OGLE-2013-BLG-0102L,1,1,,0.8,12.3,1.1,4100,13,Mass,12.1,,,,,,,,,,0.1,,,,,,3040,,,,Gas Giant
OGLE-2013-BLG-0132L b,OGLE-2013-BLG-0132L,1,1,,3.6,11.6,1.03,92,0.29,Mass,0.324,,,,,,,,,,0.54,,,,,,3900,,,,Gas Giant
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,2,1,,0.702,1.16,0.104,1.66,0.00522,Mass,5.84,,,,,,,,,,0.11,,,,,,911,,,,Super Earth
OGLE-2013-BLG-0911L b,OGLE-2013-BLG-0911L,1,1,,0.39,12.5,1.12,3020,9.51,Mass,8.5,,,,,,,,,,0.29,,,,,,3220,26.42,19.64,,Gas Giant
OGLE-2013-BLG-1721L b,OGLE-2013-BLG-1721L,1,1,,2.6,14.1,1.26,200,0.64,Mass,0.392,,,,,,,,,,0.46,,,,,,6300,,,,Gas Giant
OGLE-2013-BLG-1761L b,OGLE-2013-BLG-1761L,1,1,,1.8,13.2,1.18,860,2.7,Mass,2.05,,,,,,,,,,0.33,,,,,,6900,,,,Gas Giant
OGLE-2014-BLG-0124L b,OGLE-2014-BLG-0124L,1,1,,3.48,14.1,1.25,206.58846,0.65,Mass,0.405,,,,,,,,,,0.9,,,,,,3500,,,,Gas Giant
OGLE-2014-BLG-0319L b,OGLE-2014-BLG-0319L,1,1,,3.49,14.1,1.26,181.16219,0.57,Mass,0.355,,,,,,,M,,,0.52,,,,,,7730,,19.92,,Gas Giant
OGLE-2014-BLG-0676L b,OGLE-2014-BLG-0676L,1,1,,4.53,13,1.16,1169.60854,3.68,Mass,2.93,,,,,,,,,,0.73,,,,,,2670,,,,Gas Giant
OGLE-2014-BLG-1722L b,OGLE-2014-BLG-1722L,1,2,,1.5,8.59,0.766,55.3,0.174,Mass,0.479,,,,,,,,,,0.4,,,,,,6400,,,,Gas Giant
OGLE-2014-BLG-1722L c,OGLE-2014-BLG-1722L,1,2,,1.7,11,0.978,83.7,0.263,Mass,0.346,,,,,,,,,,0.4,,,,,,6400,,,,Gas Giant
OGLE-2014-BLG-1760L b,OGLE-2014-BLG-1760L,1,1,,1.75,14.2,1.26,180,0.56,Mass,0.345,,,,,,,,,,0.51,,,,,,6860,,,,Gas Giant
OGLE-2015-BLG-0051L b,OGLE-2015-BLG-0051L,1,1,,0.73,14,1.25,230,0.72,Mass,0.461,,,,,,,,,,0.1,,,,,,8200,,,,Gas Giant
OGLE-2015-BLG-0954L b,OGLE-2015-BLG-0954L,1,1,,1.6,13.1,1.17,1100,3.4,Mass,2.69,,,,,,,,,,0.3,,,,,,1200,,17.45,,Gas Giant
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,1,1,,2.7,4.86,0.433,21,0.066,Mass,1.01,,,,,,,,,,0.38,,,,,,3300,,,,Neptune-like
OGLE-2015-BLG-1649L b,OGLE-2015-BLG-1649L,1,1,,2.07,13.2,1.18,807,2.54,Mass,1.93,,,,,,,,,,0.34,,,,,,4230,,,,Gas Giant
OGLE-2015-BLG-1670L b,OGLE-2015-BLG-1670L,1,1,,2.62,4.42,0.394,17.9,0.0563,Mass,1.14,,,,,,,,,,0.55,,,,,,6700,,20.3,,Neptune-like
OGLE-2015-BLG-1771L b,OGLE-2015-BLG-1771L,1,1,,0.85,14.3,1.28,138,0.433,Mass,0.259,,,,,,,,,,0.08,,,,,,7070,,,,Gas Giant
OGLE-2016-BLG-0263L b,OGLE-2016-BLG-0263L,1,1,,5.4,13,1.16,1300,4.1,Mass,3.25,,,,,,,,,,0.13,,,,,,6500,,,,Gas Giant
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,2,1,,6.4,13,1.16,1330,4.18,Mass,3.33,,,,,,,,,,0.72,,,,,,3410,,,,Gas Giant
OGLE-2016-BLG-1067L b,OGLE-2016-BLG-1067L,1,1,,1.7,14.3,1.28,140,0.43,Mass,0.263,,,,,,,,,,0.3,,,,,,3730,,,,Gas Giant
OGLE-2016-BLG-1093 b,OGLE-2016-BLG-1093,1,1,,2.13,14,1.25,225.65817,0.71,Mass,0.452,,,,,,,,,,0.46,,,,,,8120,,,,Gas Giant
OGLE-2016-BLG-1190L b,OGLE-2016-BLG-1190L,1,1,1220,2.17,12.3,1.1,4253,13.38,Mass,12.6,0.42,,,41.2,,,,,,0.88,,,,,,6770,,,,Gas Giant
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,1,1,,1.16,1.11,0.099,1.43,0.0045,Mass,5.75,,,,,,,,,,0.08,,,,,,3910,,,,Super Earth
OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,1,1,,3.4,13.9,1.24,250,0.79,Mass,0.512,,,,,,,,,,0.1,,,,,,,,,,Gas Giant
OGLE-2017-BLG-0173L b,OGLE-2017-BLG-0173L,1,1,,3.913,1.62,0.145,3.269,0.01029,Mass,4.23,,,,,,,,,,0.4,,,,,,4705,,,,Super Earth
OGLE-2017-BLG-0373L b,OGLE-2017-BLG-0373L,1,1,,2.424,14,1.25,127,0.401,Mass,0.254,,,,,,,,,,0.25,,,,,,5915,,,,Gas Giant
OGLE-2017-BLG-0406L b,OGLE-2017-BLG-0406L,1,1,,3.5,14.2,1.27,130,0.41,Mass,0.249,,,,,,,,,,0.56,,,,,,5200,26.1,,,Gas Giant
OGLE-2017-BLG-0482L b,OGLE-2017-BLG-0482L,1,1,,1.8,2.95,0.263,9,0.028,Mass,1.93,,,,,,,,,,0.2,,,,,,5800,,,,Neptune-like
OGLE-2017-BLG-0604L b,OGLE-2017-BLG-0604L,1,1,,4.06,14.2,1.27,160,0.51,Mass,0.307,,,,,,,,,,0.7,,,,,,3950,,,,Gas Giant
OGLE-2017-BLG-1049L b,OGLE-2017-BLG-1049L,1,1,,3.92,12.8,1.14,1760,5.53,Mass,4.61,,,,,,,,,,0.55,,,,,,5670,,,,Gas Giant
OGLE-2017-BLG-1099L b,OGLE-2017-BLG-1099L,1,1,,2.73,13.1,1.17,959.84179,3.02,Mass,2.35,,,,,,,,,,0.45,,,,,,7250,,,,Gas Giant
OGLE-2017-BLG-1140L b,OGLE-2017-BLG-1140L,1,1,,1.02,13.5,1.21,505,1.59,Mass,1.13,,,,,,,,,,0.21,,,,,,,,,,Gas Giant
OGLE-2017-BLG-1375L b,OGLE-2017-BLG-1375L,1,1,,3.04,12.4,1.11,3585,11.28,Mass,10.3,,,,,,,,,,0.81,,,,,,3930,,,,Gas Giant
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,1,1,,1.18,1.94,0.173,4.43,0.01394,Mass,3.33,,,,,,,,,,0.23,,,,,,860,,,,Super Earth
OGLE-2017-BLG-1522L b,OGLE-2017-BLG-1522L,1,1,,0.59,14,1.25,240,0.75,Mass,0.481,,,,,,,,,,0.04,,,,,,7490,,,,Gas Giant
OGLE-2017-BLG-1691L b,OGLE-2017-BLG-1691L,1,1,,2.41,3.92,0.35,14.62011,0.046,Mass,1.33,,,,,,,,,,0.45,,,,,,7290,,,,Neptune-like
OGLE-2017-BLG-1806L b,OGLE-2017-BLG-1806L,1,1,,1.75,2.15,0.192,5.27,0.01658,Mass,2.91,,,,,,,,,,0.38,,,,,,6400,,,,Neptune-like
OGLE-2018-BLG-0298L b,OGLE-2018-BLG-0298L,1,1,,2.86,7.56,0.674,44.49598,0.14,Mass,0.566,,,,,,,,,,0.69,,,,,,6540,,,,Gas Giant
